month,rainfall_mm,rainfall_pct_normal,mean_temp_c,soil_moisture_deficit_mm,notes
2025-06-01,118,102,9.8,5,"Typical early-winter month. Pugging on heavy soils late in the month."
2025-07-01,134,110,8.9,0,"Wet and mild. Some surface flooding in low-lying paddocks mid-month."
2025-08-01,96,95,10.2,0,"Settled spells between fronts. Good calving weather."
2025-09-01,142,138,11.6,0,"Persistent rain through the first three weeks. Hill country waterlogged; ground conditions poor for machinery."
2025-10-01,84,88,13.4,10,"Drying and warm. Strong pasture growth; good ground conditions returned by mid-month."
2025-11-01,78,90,15.8,25,"Warm with regular rain. Pasture covers above average across the region."
2025-12-01,41,55,18.9,60,"Hot, drying from mid-month. Soil moisture falling on lighter soils."
2026-01-01,196,210,19.4,20,"Ex-tropical low crossed the North Island 14-17 Jan: 158mm in 72 hours. Ground too wet for heavy machinery for roughly a fortnight. Hot and dry from 25 Jan."
2026-02-01,12,14,21.2,130,"Severe soil moisture deficit. Pasture browned off region-wide. Medium-scale adverse event (drought) declared for the region 26 Feb."
2026-03-01,34,38,18.6,145,"Drought conditions continue. Isolated relief showers in the final week."
2026-04-01,121,128,15.1,40,"Rain returned in the first week. Slow autumn recovery; pasture covers still below average."
2026-05-01,102,105,12.3,10,"Normal autumn conditions. Growth rates recovering."
